timestamp,event_type,device_id,new_value,session_id,elapsed_sec,metadata
2025-08-10 16:07:35.239799,SESSION_START,SYSTEM,1,1,0.0,"{""experiment"": ""Skinnerv01"", ""time"": ""10/08/2025 16:07:35"", ""led_1c"": ""Apagado"", ""led_1v"": 1, ""led_2c"": ""Apagado"", ""led_2v"": 1, ""pal_1c"": ""CRF"", ""pal_1v"": 3, ""pal_2c"": ""FR"", ""pal_2v"": 3}"
2025-08-10 16:07:35.374268,LED_CHANGE,LED_01,0,1,0.134,
2025-08-10 16:07:35.483036,LED_CHANGE,LED_02,0,1,0.243,
2025-08-10 16:07:38.112760,LEVER_PRESS,LEVER_01,1,1,2.873,
2025-08-10 16:07:38.134996,FOOD_DISPENSE,DISPENSADOR,1,1,2.895,
2025-08-10 16:07:38.678996,LEVER_PRESS,LEVER_01,2,1,3.439,
2025-08-10 16:07:38.696091,FOOD_DISPENSE,DISPENSADOR,2,1,3.456,
2025-08-10 16:07:39.011639,LEVER_PRESS,LEVER_01,3,1,3.772,
2025-08-10 16:07:39.030034,FOOD_DISPENSE,DISPENSADOR,3,1,3.79,
2025-08-10 16:07:39.444814,LEVER_PRESS,LEVER_01,4,1,4.205,
2025-08-10 16:07:39.463129,FOOD_DISPENSE,DISPENSADOR,4,1,4.223,
2025-08-10 16:07:39.771504,LEVER_PRESS,LEVER_01,5,1,4.532,
2025-08-10 16:07:39.788652,FOOD_DISPENSE,DISPENSADOR,5,1,4.549,
2025-08-10 16:07:40.485035,SESSION_END,SYSTEM,5.25,1,5.245,"{""duration_sec"": 5.245228}"
2025-08-10 16:07:48.074953,SESSION_START,SYSTEM,2,2,0.0,"{""experiment"": ""Skinnerv01"", ""time"": ""10/08/2025 16:07:48"", ""led_1c"": ""Encendido"", ""led_1v"": 1, ""led_2c"": ""Apagado"", ""led_2v"": 1, ""pal_1c"": ""CRF"", ""pal_1v"": 3, ""pal_2c"": ""CRF"", ""pal_2v"": 3}"
2025-08-10 16:07:48.221354,LED_CHANGE,LED_01,1,2,0.146,
2025-08-10 16:07:48.228022,LED_CHANGE,LED_02,0,2,0.153,
2025-08-10 16:07:48.550120,LEVER_PRESS,LEVER_01,1,2,0.475,
2025-08-10 16:07:48.565936,FOOD_DISPENSE,DISPENSADOR,1,2,0.491,
2025-08-10 16:07:49.007984,LEVER_PRESS,LEVER_01,2,2,0.933,
2025-08-10 16:07:49.024365,FOOD_DISPENSE,DISPENSADOR,2,2,0.949,
2025-08-10 16:07:49.441828,LEVER_PRESS,LEVER_01,3,2,1.367,
2025-08-10 16:07:49.460226,FOOD_DISPENSE,DISPENSADOR,3,2,1.385,
2025-08-10 16:07:50.208514,LEVER_PRESS,LEVER_01,4,2,2.134,
2025-08-10 16:07:50.226510,FOOD_DISPENSE,DISPENSADOR,4,2,2.152,
2025-08-10 16:07:50.649557,LEVER_PRESS,LEVER_01,5,2,2.575,
2025-08-10 16:07:50.668695,FOOD_DISPENSE,DISPENSADOR,5,2,2.594,
2025-08-10 16:07:50.866026,LEVER_PRESS,LEVER_01,6,2,2.791,
2025-08-10 16:07:50.883675,FOOD_DISPENSE,DISPENSADOR,6,2,2.809,
2025-08-10 16:07:52.668518,SESSION_END,SYSTEM,4.59,2,4.594,"{""duration_sec"": 4.593557}"
